A02	Other Salmonella infections-
C01	Malignant neoplasm of base of tongue4
C02	Malignant neoplasm of other and unspecified parts of tongue-
C029	Tongue, unspecified45
C03	Malignant neoplasm of gum-
C030	Upper gum2
C039	Gum, unspecified1
C04	Malignant neoplasm of floor of mouth-
C049	Floor of mouth, unspecified3
C05	Malignant neoplasm of palate-
C051	Soft palate5
C059	Palate, unspecified1
C06	Malignant neoplasm of other and unspecified parts of mouth-
C060	Cheek mucosa2
C069	Mouth, unspecified16
C07	Malignant neoplasm of parotid gland12
C08	Malignant neoplasm of other and unspecified major salivary glands-
C080	Submandibular gland2
C089	Major salivary gland, unspecified2
C09	Malignant neoplasm of tonsil-
C099	Tonsil, unspecified25
C10	Malignant neoplasm of oropharynx-
C100	Vallecula1
C109	Oropharynx, unspecified34
C11	Malignant neoplasm of nasopharynx-
C111	Posterior wall of nasopharynx2
C119	Nasopharynx, unspecified10
C12	Malignant neoplasm of pyriform sinus10
C13	Malignant neoplasm of hypopharynx-
C130	Postcricoid region2
C139	Hypopharynx, unspecified14
C14	Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx-
C140	Pharynx, unspecified23
C148	Overlapping lesion of lip, oral cavity and pharynx1
C15	Malignant neoplasm of oesophagus-
C154	Middle third of oesophagus2
C155	Lower third of oesophagus9
C159	Oesophagus, unspecified734
C16	Malignant neoplasm of stomach-
C160	Cardia72
C163	Pyloric antrum2
C164	Pylorus2
C169	Stomach, unspecified320
C17	Malignant neoplasm of small intestine-
C170	Duodenum38
C171	Jejunum5
C172	Ileum2
C179	Small intestine, unspecified13
C18	Malignant neoplasm of colon-
C180	Caecum132
C181	Appendix21
C182	Ascending colon8
C183	Hepatic flexure2
C184	Transverse colon9
C185	Splenic flexure1
C186	Descending colon2
C187	Sigmoid colon111
C189	Colon, unspecified561
C19	Malignant neoplasm of rectosigmoid junction354
C20	Malignant neoplasm of rectum305
C21	Malignant neoplasm of anus and anal canal-
C210	Anus, unspecified35
C211	Anal canal5
C218	Overlapping lesion of rectum, anus and anal canal4
C22	Malignant neoplasm of liver and intrahepatic bile ducts-
C220	Liver cell carcinoma184
C221	Intrahepatic bile duct carcinoma326
C222	Hepatoblastoma1
C223	Angiosarcoma of liver2
C229	Liver, unspecified17
C23	Malignant neoplasm of gallbladder78
C24	Malignant neoplasm of other and unspecified parts of biliary tract-
C240	Extrahepatic bile duct13
C241	Ampulla of Vater20
C248	Overlapping lesion of biliary tract1
C249	Biliary tract, unspecified10
C25	Malignant neoplasm of pancreas-
C250	Head of pancreas23
C251	Body of pancreas4
C252	Tail of pancreas2
C253	Pancreatic duct5
C254	Endocrine pancreas2
C258	Overlapping lesion of pancreas2
C259	Pancreas, unspecified1107
C26	Malignant neoplasm of other and ill-defined digestive organs-
C260	Intestinal tract, part unspecified215
C269	Ill-defined sites within the digestive system36
C30	Malignant neoplasm of nasal cavity and middle ear-
C300	Nasal cavity2
C31	Malignant neoplasm of accessory sinuses-
C310	Maxillary sinus1
C319	Accessory sinus, unspecified3
C32	Malignant neoplasm of larynx-
C320	Glottis2
C321	Supraglottis9
C322	Subglottis1
C329	Larynx, unspecified34
C33	Malignant neoplasm of trachea3
C34	Malignant neoplasm of bronchus and lung-
C340	Main bronchus2
C341	Upper lobe, bronchus or lung24
C342	Middle lobe, bronchus or lung2
C343	Lower lobe, bronchus or lung8
C349	Bronchus or lung, unspecified2740
C37	Malignant neoplasm of thymus5
C38	Malignant neoplasm of heart, mediastinum and pleura-
C380	Heart3
C382	Posterior mediastinum1
C383	Mediastinum, part unspecified2
C384	Pleura5
C39	Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs-
C390	Upper respiratory tract, part unspecified1
C399	Ill-defined sites within the respiratory system1
C40	Malignant neoplasm of bone and articular cartilage of limbs-
C400	Scapula and long bones of upper limb1
C402	Long bones of lower limb2
C41	Malignant neoplasm of bone and articular cartilage of other and unspecified sites-
C410	Bones of skull and face4
C411	Mandible6
C412	Vertebral column1
C414	Pelvic bones, sacrum and coccyx1
C419	Bone and articular cartilage, unspecified13
C43	Malignant melanoma of skin-
C433	Malignant melanoma of other and unspecified parts of face2
C434	Malignant melanoma of scalp and neck1
C435	Malignant melanoma of trunk2
C436	Malignant melanoma of upper limb, including shoulder1
C437	Malignant melanoma of lower limb, including hip1
C439	Malignant melanoma of skin, unspecified303
C44	Other malignant neoplasms of skin-
C442	Skin of ear and external auricular canal5
C443	Skin of other and unspecified parts of face1
C444	Skin of scalp and neck14
C445	Skin of trunk2
C449	Malignant neoplasm of skin, unspecified26
C45	Mesothelioma-
C450	Mesothelioma of pleura73
C451	Mesothelioma of peritoneum10
C457	Mesothelioma of other sites8
C459	Mesothelioma, unspecified271
C46	Kaposi's sarcoma-
C469	Kaposi's sarcoma, unspecified1
C47	Malignant neoplasm of peripheral nerves and autonomic nervous system-
C479	Peripheral nerves and autonomic nervous system, unspecified3
C48	Malignant neoplasm of retroperitoneum and peritoneum-
C480	Retroperitoneum13
C481	Specified parts of peritoneum3
C482	Peritoneum, unspecified73
C49	Malignant neoplasm of other connective and soft tissue-
C490	Connective and soft tissue of head, face and neck1
C491	Connective and soft tissue of upper limb, including shoulder3
C492	Connective and soft tissue of lower limb, including hip5
C493	Connective and soft tissue of thorax5
C494	Connective and soft tissue of abdomen7
C495	Connective and soft tissue of pelvis3
C499	Connective and soft tissue, unspecified100
C50	Malignant neoplasm of breast-
C509	Breast, unspecified1269
C51	Malignant neoplasm of vulva-
C519	Vulva, unspecified19
C52	Malignant neoplasm of vagina9
C53	Malignant neoplasm of cervix uteri-
C530	Endocervix1
C539	Cervix uteri, unspecified31
C54	Malignant neoplasm of corpus uteri-
C541	Endometrium182
C549	Corpus uteri, unspecified3
C55	Malignant neoplasm of uterus, part unspecified66
C56	Malignant neoplasm of ovary557
C57	Malignant neoplasm of other and unspecified female genital organs-
C570	Fallopian tube18
C578	Overlapping lesion of female genital organs4
C579	Female genital organ, unspecified13
C58	Malignant neoplasm of placenta1
C60	Malignant neoplasm of penis-
C609	Penis, unspecified10
C61	Malignant neoplasm of prostate908
C62	Malignant neoplasm of testis-
C629	Testis, unspecified8
C64	Malignant neoplasm of kidney, except renal pelvis418
C65	Malignant neoplasm of renal pelvis5
C66	Malignant neoplasm of ureter24
C67	Malignant neoplasm of bladder-
C677	Urachus1
C678	Overlapping lesion of bladder2
C679	Bladder, unspecified353
C68	Malignant neoplasm of other and unspecified urinary organs-
C680	Urethra7
C688	Overlapping lesion of urinary organs2
C689	Urinary organ, unspecified28
C69	Malignant neoplasm of eye and adnexa-
C692	Retina1
C694	Ciliary body1
C695	Lachrymal gland and duct1
C696	Orbit1
C699	Eye, unspecified8
C70	Malignant neoplasm of meninges-
C700	Cerebral meninges1
C709	Meninges, unspecified2
C71	Malignant neoplasm of brain-
C710	Cerebrum, except lobes and ventricles23
C711	Frontal lobe14
C712	Temporal lobe20
C713	Parietal lobe9
C714	Occipital lobe3
C717	Brain stem1
C718	Overlapping lesion of brain6
C719	Brain, unspecified662
C73	Malignant neoplasm of thyroid gland31
C74	Malignant neoplasm of adrenal gland-
C740	Cortex of adrenal gland4
C741	Medulla of adrenal gland3
C749	Adrenal gland, unspecified8
C75	Malignant neoplasm of other endocrine glands and related structures-
C755	Aortic body and other paraganglia1
C759	Endocrine gland, unspecified4
C76	Malignant neoplasm of other and ill-defined sites-
C760	Head, face and neck4
C761	Thorax4
C762	Abdomen5
C763	Pelvis4
C767	Other ill-defined sites2
C78	Secondary malignant neoplasm of respiratory and digestive organs-
C780	Secondary malignant neoplasm of lung2
C786	Secondary malignant neoplasm of retroperitoneum and peritoneum11
C787	Secondary malignant neoplasm of liver4
C79	Secondary malignant neoplasm of other sites-
C793	Secondary malignant neoplasm of brain and cerebral meninges2
C795	Secondary malignant neoplasm of bone and bone marrow1
C798	Secondary malignant neoplasm of other specified sites2
C80	Malignant neoplasm without specification of site-
C800	Malignant neoplasm, primary site unknown, so stated279
C809	Malignant neoplasm, unspecified189
C81	Hodgkin's disease-
C810	Lymphocytic predominance1
C819	Hodgkin's disease, unspecified27
C82	Follicular [nodular] non-Hodgkin's lymphoma-
C829	Follicular non-Hodgkin's lymphoma, unspecified38
C83	Diffuse non-Hodgkin's lymphoma-
C830	Small cell (diffuse)6
C831	Small cleaved cell (diffuse)21
C833	Large cell (diffuse)116
C835	Lymphoblastic (diffuse)2
C837	Burkitt's tumour13
C838	Other types of diffuse non-Hodgkin's lymphoma6
C84	Peripheral and cutaneous T-cell lymphomas-
C840	Mycosis fungoides4
C844	Peripheral T-cell lymphoma38
C845	Other and unspecified T-cell lymphomas17
C848	Cutaneous T-cell lymphoma, unspecified3
C85	Other and unspecified types of non-Hodgkin's lymphoma-
C851	B-cell lymphoma, unspecified83
C857	Other specified types of non-Hodgkin's lymphoma3
C859	Non-Hodgkin's lymphoma, unspecified type199
C86	Other specified types of T/NK-cell lymphoma-
C862	Enteropathy-type (intestinal) T-cell lymphoma1
C865	Angioimmunoblastic T-cell lymphoma1
C88	Malignant immunoproliferative diseases-
C880	Waldenstrom's macroglobulinaemia7
C883	Immunoproliferative small intestinal disease1
C884	Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma]1
C90	Multiple myeloma and malignant plasma cell neoplasms-
C900	Multiple myeloma308
C901	Plasma cell leukaemia13
C902	Plasmacytoma, extramedullary2
C91	Lymphoid leukaemia-
C910	Acute lymphoblastic leukaemia23
C911	Chronic lymphocytic leukaemia94
C914	Hairy-cell leukaemia2
C915	Adult T-cell leukaemia1
C917	Other lymphoid leukaemia2
C919	Lymphoid leukaemia, unspecified1
C92	Myeloid leukaemia-
C920	Acute myeloid leukaemia309
C921	Chronic myeloid leukaemia18
C924	Acute promyelocytic leukaemia3
C925	Acute myelomonocytic leukaemia1
C927	Other myeloid leukaemia5
C929	Myeloid leukaemia, unspecified5
C93	Monocytic leukaemia-
C931	Chronic monocytic leukaemia19
C939	Monocytic leukaemia, unspecified1
C94	Other leukaemias of specified cell type-
C944	Acute panmyelosis1
C946	Myelodysplastic and myeloproliferative disease, not elsewhere classified1
C95	Leukaemia of unspecified cell type-
C950	Acute leukaemia of unspecified cell type8
C951	Chronic leukaemia of unspecified cell type1
C959	Leukaemia, unspecified10
C96	Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue-
C964	Sarcoma of dendritic cells (accessory cells)1
C97	Malignant neoplasms of independent (primary) multiple sites34
D13	Benign neoplasm of other and ill-defined parts of digestive system-
D135	Extrahepatic bile ducts1
D136	Pancreas1
D15	Benign neoplasm of other and unspecified intrathoracic organs-
D150	Thymus1
D18	Haemangioma and lymphangioma, any site-
D180	Haemangioma, any site3
D25	Leiomyoma of uterus-
D259	Leiomyoma of uterus, unspecified1
D32	Benign neoplasm of meninges-
D320	Cerebral meninges6
D329	Meninges, unspecified13
D33	Benign neoplasm of brain and other parts of central nervous system-
D333	Cranial nerves1
D35	Benign neoplasm of other and unspecified endocrine glands-
D350	Adrenal gland1
D352	Pituitary gland1
D37	Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs-
D371	Stomach1
D372	Small intestine2
D374	Colon4
D375	Rectum3
D376	Liver, gallbladder and bile ducts3
D377	Other digestive organs7
D379	Digestive organ, unspecified2
D38	Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs-
D381	Trachea, bronchus and lung4
D382	Pleura2
D383	Mediastinum1
D41	Neoplasm of uncertain or unknown behaviour of urinary organs-
D410	Kidney2
D412	Ureter1
D414	Bladder1
D43	Neoplasm of uncertain or unknown behaviour of brain and central nervous system-
D430	Brain, supratentorial5
D431	Brain, infratentorial2
D432	Brain, unspecified21
D439	Central nervous system, unspecified1
D44	Neoplasm of uncertain or unknown behaviour of endocrine glands-
D443	Pituitary gland1
D444	Craniopharyngeal duct1
D445	Pineal gland1
D447	Aortic body and other paraganglia2
D45	Polycythaemia vera4
D46	Myelodysplastic syndromes-
D462	Refractory anaemia with excess of blasts1
D464	Refractory anaemia, unspecified3
D469	Myelodysplastic syndrome, unspecified54
D47	Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue-
D471	Chronic myeloproliferative disease14
D473	Essential (haemorrhagic) thrombocythaemia1
D474	Osteomyelofibrosis27
D479	Neoplasm of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue, unspecified1
D48	Neoplasm of uncertain or unknown behaviour of other and unspecified sites-
D481	Connective and other soft tissue4
D487	Other specified sites1
D489	Neoplasms of uncertain or unknown behaviour, unspecified4
D57	Sickle-cell disorders-
D571	Sickle-cell anaemia without crisis2
D58	Other hereditary haemolytic anaemias-
D589	Hereditary haemolytic anaemia, unspecified3
D59	Acquired haemolytic anaemia-
D591	Other autoimmune haemolytic anaemias3
D593	Haemolytic-uraemic syndrome2
D61	Other aplastic anaemias-
D619	Aplastic anaemia, unspecified9
D64	Other anaemias-
D649	Anaemia, unspecified1
D65	Disseminated intravascular coagulation [defibrination syndrome]1
D68	Other coagulation defects-
D686	Other Thrombophilia1
D689	Coagulation defect, unspecified1
D69	Purpura and other haemorrhagic conditions-
D693	Idiopathic thrombocytopenic purpura1
D694	Other primary thrombocytopenia1
D699	Haemorrhagic condition, unspecified1
D70	Agranulocytosis11
D75	Other diseases of blood and blood-forming organs-
D751	Secondary polycythaemia1
D758	Other specified diseases of blood and blood-forming organs1
D76	Certain diseases involving lymphoreticular tissue and reticulohistiocytic system-
D761	Haemophagocytic lymphohistiocytosis5
D762	Haemophagocytic syndrome, infection-associated1
D80	Immunodeficiency with predominantly antibody defects-
D801	Nonfamilial hypogammaglobulinaemia1
D83	Common variable immunodeficiency-
D839	Common variable immunodeficiency, unspecified1
D84	Other immunodeficiencies-
D849	Immunodeficiency, unspecified1
D86	Sarcoidosis-
D860	Sarcoidosis of lung7
D868	Sarcoidosis of other and combined sites1
D869	Sarcoidosis, unspecified9
D89	Other disorders involving the immune mechanism, not elsewhere classified-
D891	Cryoglobulinaemia1
D899	Disorder involving the immune mechanism, unspecified3
E03	Other hypothyroidism-
E039	Hypothyroidism, unspecified1
E04	Other non-toxic goitre-
E042	Non-toxic multinodular goitre1
E05	Thyrotoxicosis [hyperthyroidism]-
E059	Thyrotoxicosis, unspecified1
E10	Insulin-dependent diabetes mellitus-
E101	With ketoacidosis5
E102	With renal complications2
E105	With peripheral circulatory complications4
E106	With other specified complications1
E107	With multiple complications4
E109	Without complications5
E11	Non-insulin-dependent diabetes mellitus-
E111	With ketoacidosis1
E112	With renal complications25
E115	With peripheral circulatory complications21
E117	With multiple complications21
E119	Without complications33
E14	Unspecified diabetes mellitus-
E141	With ketoacidosis27
E142	Withrenal complications20
E144	With neurological complications3
E145	With peripheral circulatory complications7
E147	With multiple complications9
E149	Without complications26
E16	Other disorders of pancreatic internal secretion-
E162	Hypoglycaemia, unspecified5
E27	Other disorders of adrenal gland-
E271	Primary adrenocortical insufficiency2
E274	Other and unspecified adrenocortical insufficiency1
E34	Other endocrine disorders-
E340	Carcinoid syndrome2
E348	Other specified endocrine disorders1
E46	Unspecified protein-energy malnutrition1
E66	Obesity-
E662	Extreme obesity with alveolar hypoventilation1
E668	Other obesity6
E669	Obesity, unspecified18
E74	Other disorders of carbohydrate metabolism-
E740	Glycogen storage disease1
E78	Disorders of lipoprotein metabolism and other lipidaemias-
E780	Pure hypercholesterolaemia4
E785	Hyperlipidaemia, unspecified3
E83	Disorders of mineral metabolism-
E831	Disorders of iron metabolism5
E835	Disorders of calcium metabolism1
E84	Cystic fibrosis-
E849	Cystic fibrosis, unspecified2
E85	Amyloidosis-
E854	Organ-limited amyloidosis46
E858	Other amyloidosis2
E859	Amyloidosis, unspecified12
E86	Volume depletion1
E87	Other disorders of fluid, electrolyte and acid-base balance-
E870	Hyperosmolality and hypernatraemia1
E871	Hypo-osmolality and hyponatraemia1
E872	Acidosis12
E875	Hyperkalaemia2
E876	Hypokalaemia1
E88	Other metabolic disorders-
E880	Disorders of plasma-protein metabolism, not elsewhere classified7
E888	Other specified metabolic disorders1
E889	Metabolic disorder, unspecified2
F01	Vascular dementia-
F011	Multi-infarct dementia3
F012	Subcortical vascular dementia3
F019	Vascular dementia, unspecified154
F03	Unspecified dementia376
F05	Delirium, not induced by alcohol and other psychoactive substances-
F058	Other delirium1
F059	Delirium, unspecified2
F10	Mental and behavioural disorders due to use of alcohol-
F101	Harmful use4
F102	Dependence syndrome21
F103	Withdrawal state2
F106	Amnesic syndrome3
F107	Residual and late-onset psychotic disorder2
F109	Unspecified mental and behavioural disorder1
F20	Schizophrenia-
F209	Schizophrenia, unspecified1
F31	Bipolar affective disorder-
F319	Bipolar affective disorder, unspecified3
F50	Eating disorders-
F500	Anorexia nervosa3
F81	Specific developmental disorders of scholastic skills-
F812	Specific disorder of arithmetical skills1
G00	Bacterial meningitis, not elsewhere classified-
G001	Pneumococcal meningitis1
G002	Streptococcal meningitis1
G009	Bacterial meningitis, unspecified3
G03	Meningitis due to other and unspecified causes-
G038	Meningitis due to other specified causes1
G039	Meningitis, unspecified5
G04	Encephalitis, myelitis and encephalomyelitis-
G048	Other encephalitis, myelitis and encephalomyelitis1
G049	Encephalitis, myelitis and encephalomyelitis, unspecified6
G06	Intracranial and intraspinal abscess and granuloma-
G060	Intracranial abscess and granuloma4
G061	Intraspinal abscess and granuloma2
G062	Extradural and subdural abscess, unspecified1
G09	Sequelae of inflammatory diseases of central nervous system1
G10	Huntington's disease4
G11	Hereditary ataxia-
G111	Early-onset cerebellar ataxia1
G114	Hereditary spastic paraplegia1
G119	Hereditary ataxia, unspecified8
G12	Spinal muscular atrophy and related syndromes-
G122	Motor neuron disease328
G129	Spinal muscular atrophy, unspecified1
G20	Parkinson's disease298
G23	Other degenerative diseases of basal ganglia-
G231	Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]72
G232	Striatonigral degeneration4
G24	Dystonia-
G249	Dystonia, unspecified1
G25	Other extrapyramidal and movement disorders-
G258	Other specified extrapyramidal and movement disorders3
G30	Alzheimer's disease-
G300	Alzheimer's disease with early onset6
G301	Alzheimer's disease with late onset14
G309	Alzheimer's disease, unspecified348
G31	Other degenerative diseases of nervous system, not elsewhere classified-
G310	Circumscribed brain atrophy41
G318	Other specified degenerative diseases of nervous system113
G319	Degenerative disease of nervous system, unspecified13
G35	Multiple sclerosis96
G40	Epilepsy-
G403	Generalised idiopathic epilepsy and epileptic syndromes1
G406	Grand mal seizures, unspecified (with or without petit mal)1
G409	Epilepsy, unspecified27
G41	Status epilepticus-
G419	Status epilepticus, unspecified4
G45	Transient cerebral ischaemic attacks and related syndromes-
G459	Transient cerebral ischaemic attack, unspecified1
G47	Sleep disorders-
G473	Sleep apnoea8
G51	Facial nerve disorders-
G519	Disorder of facial nerve, unspecified1
G60	Hereditary and idiopathic neuropathy-
G603	Idiopathic progressive neuropathy1
G61	Inflammatory polyneuropathy-
G610	Guillain-Barre syndrome1
G62	Other polyneuropathies-
G628	Other specified polyneuropathies1
G629	Polyneuropathy, unspecified2
G70	Myasthenia gravis and other myoneural disorders-
G700	Myasthenia gravis6
G709	Myoneural disorder, unspecified1
G71	Primary disorders of muscles-
G710	Muscular dystrophy3
G711	Myotonic disorders11
G712	Congenital myopathies1
G713	Mitochondrial myopathy, not elsewhere classified3
G72	Other myopathies-
G724	Inflammatory myopathy, not elsewhere classified1
G729	Myopathy, unspecified3
G80	Infantile cerebral palsy-
G809	Infantile cerebral palsy, unspecified2
G82	Paraplegia and tetraplegia-
G822	Paraplegia, unspecified1
G825	Tetraplegia, unspecified6
G83	Other paralytic syndromes-
G839	Paralytic syndrome, unspecified1
G90	Disorders of autonomic nervous system-
G903	Multisystem degeneration38
G91	Hydrocephalus-
G919	Hydrocephalus, unspecified1
G92	Toxic encephalopathy1
G93	Other disorders of brain-
G931	Anoxic brain damage, not elsewhere classified10
G934	Encephalopathy, unspecified1
G936	Cerebral oedema1
G95	Other diseases of spinal cord-
G950	Syringomyelia and syringobulbia2
G951	Vascular myelopathies2
G952	Cord compression, unspecified2
G959	Disease of spinal cord, unspecified4
G96	Other disorders of central nervous system-
G961	Disorders of meninges, not elsewhere classified1
G969	Disorder of central nervous system, unspecified1
G98	Other disorders of nervous system, not elsewhere classified2
H70	Mastoiditis and related conditions-
H709	Mastoiditis, unspecified2
I05	Rheumatic mitral valve diseases-
I050	Mitral stenosis8
I058	Other mitral valve diseases1
I059	Mitral valve disease, unspecified23
I07	Rheumatic tricuspid valve diseases-
I071	Tricuspid insufficiency2
I08	Multiple valve diseases-
I080	Disorders of both mitral and aortic valves3
I081	Disorders of both mitral and tricuspid valves2
I09	Other rheumatic heart diseases-
I091	Rheumatic diseases of endocardium, valve unspecified2
I099	Rheumatic heart disease, unspecified1
I10	Essential (primary) hypertension26
I11	Hypertensive heart disease-
I110	Hypertensive heart disease with (congestive) heart failure62
I119	Hypertensive heart disease without (congestive) heart failure83
I12	Hypertensive renal disease-
I120	Hypertensive renal disease with renal failure10
I129	Hypertensive renal disease without renal failure2
I13	Hypertensive heart and renal disease-
I130	Hypertensive heart and renal disease with (congestive) heart failure2
I131	Hypertensive heart and renal disease with renal failure2
I132	Hypertensive heart and renal disease with both (congestive) heart failure and renal failure4
I20	Angina pectoris-
I209	Angina pectoris, unspecified2
I21	Acute myocardial infarction-
I213	Acute transmural myocardial infarction of unspecified site1
I214	Acute subendocardial myocardial infarction2
I219	Acute myocardial infarction, unspecified1306
I24	Other acute ischaemic heart diseases-
I248	Other forms of acute ischaemic heart disease2
I249	Acute ischaemic heart disease, unspecified15
I25	Chronic ischaemic heart disease-
I250	Atherosclerotic cardiovascular disease, so described4
I251	Atherosclerotic heart disease908
I252	Old myocardial infarction1
I253	Aneurysm of heart2
I254	Coronary artery aneurysm2
I255	Ischaemic cardiomyopathy47
I258	Other forms of chronic ischaemic heart disease14
I259	Chronic ischaemic heart disease, unspecified982
I26	Pulmonary embolism-
I260	Pulmonary embolism with mention of acute cor pulmonale1
I269	Pulmonary embolism without mention of acute cor pulmonale129
I27	Other pulmonary heart diseases-
I270	Primary pulmonary hypertension8
I272	Other secondary pulmonary hypertension19
I279	Pulmonary heart disease, unspecified5
I28	Other diseases of pulmonary vessels-
I288	Other specified diseases of pulmonary vessels1
I30	Acute pericarditis-
I308	Other forms of acute pericarditis2
I309	Acute pericarditis, unspecified4
I31	Other diseases of pericardium-
I311	Chronic constrictive pericarditis5
I312	Haemopericardium, not elsewhere classified4
I313	Pericardial effusion (noninflammatory)1
I319	Disease of pericardium, unspecified7
I33	Acute and subacute endocarditis-
I330	Acute and subacute infective endocarditis27
I34	Nonrheumatic mitral valve disorders-
I340	Mitral (valve) insufficiency17
I341	Mitral (valve) prolapse1
I35	Nonrheumatic aortic valve disorders-
I350	Aortic (valve) stenosis88
I351	Aortic (valve) insufficiency5
I352	Aortic (valve) stenosis with insufficiency2
I358	Other aortic valve disorders4
I359	Aortic valve disorder, unspecified35
I38	Endocarditis, valve unspecified38
I40	Acute myocarditis-
I400	Infective myocarditis2
I409	Acute myocarditis, unspecified2
I42	Cardiomyopathy-
I420	Dilated cardiomyopathy76
I421	Obstructive hypertrophic cardiomyopathy6
I422	Other hypertrophic cardiomyopathy12
I424	Endocardial fibroelastosis2
I425	Other restrictive cardiomyopathy2
I426	Alcoholic cardiomyopathy7
I428	Other cardiomyopathies1
I429	Cardiomyopathy, unspecified39
I44	Atrioventricular and left bundle-branch block-
I442	Atrioventricular block, complete4
I45	Other conduction disorders-
I458	Other specified conduction disorders1
I459	Conduction disorder, unspecified2
I46	Cardiac arrest-
I461	Sudden cardiac death, so described4
I469	Cardiac arrest, unspecified2
I47	Paroxysmal tachycardia-
I472	Ventricular tachycardia2
I48	Atrial fibrillation and flutter-
I480	Paroxysmal atrial fibrillation2
I489	Atrial fibrillation and atrial flutter, unspecified61
I49	Other cardiac arrhythmias-
I490	Ventricular fibrillation and flutter2
I499	Cardiac arrhythmia, unspecified12
I50	Heart failure-
I500	Congestive heart failure61
I501	Left ventricular failure15
I509	Heart failure, unspecified27
I51	Complications and ill-defined descriptions of heart disease-
I513	Intracardiac thrombosis, not elsewhere classified1
I514	Myocarditis, unspecified10
I515	Myocardial degeneration2
I516	Cardiovascular disease, unspecified3
I517	Cardiomegaly50
I518	Other ill-defined heart diseases14
I519	Heart disease, unspecified1
I60	Subarachnoid haemorrhage-
I600	Subarachnoid haemorrhage from carotid siphon and bifurcation5
I602	Subarachnoid haemorrhage from anterior communicating artery1
I603	Subarachnoid haemorrhage from posterior communicating artery1
